Rk,Date,Team,H/A,Opponent,Result,Win/Loss,Team Points,Opponent Points,Passing_Cmp,Passing_Att,Passing_Pct,Passing_Yds,Passing_TD,Rushing_Att,Rushing_Yds,Rushing_Avg,Rushing_TD,Total Offense_Plays,Total Offense_Yds,Total Offense_Avg,First Downs_Pass,First Downs_Rush,First Downs_Pen,First Downs_Tot,Penalties_No.,Penalties_Yds,Turnovers_Fum,Turnovers_Int,Turnovers_Tot,Season,Custom,WINS,Losses
1,9/1/2012 0:00,Texas,Home,Wyoming,W (37-17),W,37,17,20,28,71.4,156,1,47,280,6,4,75,436,5.8,8,13,1,22,3,35,1,0,1,2012,,1,0
2,9/8/2012 0:00,Texas,Home,New Mexico,W (45-0),W,45,0,21,30,70,285,3,31,146,4.7,3,61,431,7.1,14,6,0,20,3,20,0,0,0,2012,,1,0
3,9/15/2012 0:00,Texas,Away,Mississippi,W (66-31),W,66,31,19,24,79.2,326,4,54,350,6.5,4,78,676,8.7,10,18,1,29,8,55,0,0,0,2012,,1,0
4,9/29/2012 0:00,Texas,Away,Oklahoma State,W (41-36),W,41,36,30,38,78.9,304,3,42,136,3.2,2,80,440,5.5,13,9,3,25,5,30,0,1,1,2012,Big 12,1,0
5,10/6/2012 0:00,Texas,Home,West Virginia,L (45-48),L,45,48,22,29,75.9,269,1,39,135,3.5,4,68,404,5.9,12,7,2,21,4,35,1,0,1,2012,Big 12,0,1
6,10/13/2012 0:00,Texas,N,Oklahoma,L (21-63),L,21,63,18,37,48.6,215,2,23,74,3.2,0,60,289,4.8,10,2,1,13,5,37,1,2,3,2012,Big 12,0,1
7,10/20/2012 0:00,Texas,Home,Baylor,W (56-50),W,56,50,19,31,61.3,274,1,44,251,5.7,7,75,525,7,11,14,2,27,5,52,0,0,0,2012,Big 12,1,0
8,10/27/2012 0:00,Texas,Away,Kansas,W (21-17),W,21,17,14,24,58.3,172,1,34,170,5,2,58,342,5.9,6,10,0,16,5,65,0,2,2,2012,Big 12,1,0
9,11/3/2012 0:00,Texas,Away,Texas Tech,W (31-22),W,31,22,11,19,57.9,264,3,39,163,4.2,1,58,427,7.4,6,12,0,18,8,64,0,0,0,2012,Big 12,1,0
10,11/10/2012 0:00,Texas,Home,Iowa State,W (33-7),W,33,7,26,32,81.3,387,2,45,222,4.9,2,77,609,7.9,17,12,2,31,3,20,0,0,0,2012,Big 12,1,0
11,11/22/2012 0:00,Texas,Home,TCU,L (13-20),L,13,20,21,38,55.3,214,0,33,86,2.6,1,71,300,4.2,14,6,2,22,4,29,1,3,4,2012,Big 12,0,1
12,12/1/2012 0:00,Texas,Away,Kansas State,L (24-42),L,24,42,26,35,74.3,314,2,30,99,3.3,1,65,413,6.4,13,6,2,21,6,69,1,2,3,2012,Big 12,0,1
13,12/29/2012 0:00,Texas,N,Oregon State*,W (31-27),W,31,27,21,34,61.8,241,2,31,117,3.8,2,65,358,5.5,11,4,1,16,9,78,0,1,1,2012,,1,0
1,8/31/2013 0:00,Texas,Home,New Mexico State,W (56-7),W,56,7,22,30,73.3,356,4,42,359,8.5,4,72,715,9.9,9,17,0,26,3,35,1,2,3,2013,,1,0
2,9/7/2013 0:00,Texas,Away,Brigham Young,L (21-40),L,21,40,24,44,54.5,313,2,39,132,3.4,1,83,445,5.4,13,7,3,23,4,45,0,0,0,2013,,0,1
3,9/14/2013 0:00,Texas,Home,Mississippi,L (23-44),L,23,44,24,36,66.7,196,1,37,124,3.4,1,73,320,4.4,10,8,2,20,7,50,1,0,1,2013,,0,1
4,9/21/2013 0:00,Texas,Home,Kansas State,W (31-21),W,31,21,19,34,55.9,225,1,47,227,4.8,3,81,452,5.6,7,16,1,24,8,74,0,0,0,2013,Big 12,1,0
5,10/3/2013 0:00,Texas,Away,Iowa State,W (31-30),W,31,30,26,45,57.8,244,1,29,119,4.1,3,74,363,4.9,11,5,7,23,6,62,1,0,1,2013,Big 12,1,0
6,10/12/2013 0:00,Texas,N,Oklahoma,W (36-20),W,36,20,13,22,59.1,190,2,60,255,4.3,0,82,445,5.4,9,13,2,24,3,15,1,1,2,2013,Big 12,1,0
7,10/26/2013 0:00,Texas,Away,TCU,W (30-7),W,30,7,9,19,47.4,228,1,52,187,3.6,2,71,415,5.8,7,7,4,18,6,50,0,2,2,2013,Big 12,1,0
8,11/2/2013 0:00,Texas,Home,Kansas,W (35-13),W,35,13,21,32,65.6,197,0,44,221,5,4,76,418,5.5,11,8,2,21,6,54,0,2,2,2013,Big 12,1,0
9,11/9/2013 0:00,Texas,Away,West Virginia,W (47-40),W,47,40,27,49,55.1,283,3,41,152,3.7,2,90,435,4.8,12,6,2,20,5,37,1,1,2,2013,Big 12,1,0
10,11/16/2013 0:00,Texas,Home,Oklahoma State,L (13-38),L,13,38,29,43,67.4,238,0,43,151,3.5,1,86,389,4.5,12,11,2,25,3,24,0,3,3,2013,Big 12,0,1
11,11/28/2013 0:00,Texas,Home,Texas Tech,W (41-16),W,41,16,11,20,55,182,2,61,281,4.6,3,81,463,5.7,7,15,2,24,6,67,2,0,2,2013,Big 12,1,0
12,12/7/2013 0:00,Texas,Away,Baylor,L (10-30),L,10,30,12,34,35.3,54,1,35,163,4.7,0,69,217,3.1,3,8,1,12,6,49,0,2,2,2013,Big 12,0,1
13,12/30/2013 0:00,Texas,N,Oregon*,L (7-30),L,7,30,9,23,39.1,56,0,44,180,4.1,1,67,236,3.5,3,8,2,13,4,35,0,2,2,2013,,0,1
1,8/30/2014 0:00,Texas,Home,North Texas,W (38-7),W,38,7,19,34,55.9,190,1,40,163,4.1,3,74,353,4.8,10,6,2,18,7,65,2,0,2,2014,,1,0
2,9/6/2014 0:00,Texas,Home,Brigham Young,L (7-41),L,7,41,20,31,64.5,176,1,35,82,2.3,0,66,258,3.9,9,6,0,15,6,64,3,1,4,2014,,0,1
3,9/13/2014 0:00,Texas,N,UCLA,L (17-20),L,17,20,24,34,70.6,196,2,30,126,4.2,0,64,322,5,8,6,0,14,7,50,0,0,0,2014,,0,1
4,9/27/2014 0:00,Texas,Away,Kansas,W (23-0),W,23,0,19,34,55.9,218,2,36,111,3.1,1,70,329,4.7,9,8,2,19,6,46,1,0,1,2014,Big 12,1,0
5,10/4/2014 0:00,Texas,Home,Baylor,L (7-28),L,7,28,16,34,47.1,144,0,40,190,4.8,1,74,334,4.5,6,9,5,20,5,45,1,2,3,2014,Big 12,0,1
6,10/11/2014 0:00,Texas,N,Oklahoma,L (26-31),L,26,31,27,44,61.4,334,2,40,148,3.7,1,84,482,5.7,12,12,0,24,11,85,0,1,1,2014,Big 12,0,1
7,10/18/2014 0:00,Texas,Home,Iowa State,W (48-45),W,48,45,24,36,66.7,321,1,39,191,4.9,4,75,512,6.8,13,11,3,27,4,33,1,1,2,2014,Big 12,1,0
8,10/25/2014 0:00,Texas,Away,Kansas State,L (0-23),L,0,23,13,25,52,106,0,27,90,3.3,0,52,196,3.8,6,6,0,12,7,66,1,0,1,2014,Big 12,0,1
9,11/1/2014 0:00,Texas,Away,Texas Tech,W (34-13),W,34,13,13,25,52,228,1,51,241,4.7,3,76,469,6.2,7,13,1,21,5,50,2,0,2,2014,Big 12,1,0
10,11/8/2014 0:00,Texas,Home,West Virginia,W (33-16),W,33,16,11,29,37.9,124,1,39,227,5.8,3,68,351,5.2,7,10,2,19,5,60,0,1,1,2014,Big 12,1,0
11,11/15/2014 0:00,Texas,Away,Oklahoma State,W (28-7),W,28,7,24,33,72.7,305,2,43,125,2.9,1,76,430,5.7,15,7,2,24,6,49,0,0,0,2014,Big 12,1,0
12,11/27/2014 0:00,Texas,Home,TCU,L (10-48),L,10,48,20,34,58.8,200,1,36,90,2.5,0,70,290,4.1,7,5,0,12,3,17,2,4,6,2014,Big 12,0,1
13,12/29/2014 0:00,Texas,N,Arkansas*,L (7-31),L,7,31,13,25,52,57,0,18,2,0.1,1,43,59,1.4,6,1,0,7,5,34,1,1,2,2014,,0,1
1,9/5/2015 0:00,Texas,Away,Notre Dame,L (3-38),L,3,38,8,23,34.8,103,0,29,60,2.1,0,52,163,3.1,5,2,1,8,4,50,0,0,0,2015,,0,1
2,9/12/2015 0:00,Texas,Home,Rice,W (42-28),W,42,28,5,10,50,128,2,28,149,5.3,2,38,277,7.3,4,7,0,11,4,42,1,0,1,2015,,1,0
3,9/19/2015 0:00,Texas,Home,California,L (44-45),L,44,45,20,31,64.5,364,0,52,286,5.5,6,83,650,7.8,13,12,3,28,10,93,1,1,2,2015,,0,1
4,9/26/2015 0:00,Texas,Home,Oklahoma State,L (27-30),L,27,30,9,17,52.9,119,0,42,171,4.1,1,59,290,4.9,3,8,0,11,16,128,0,1,1,2015,Big 12,0,1
5,10/3/2015 0:00,Texas,Away,TCU,L (7-50),L,7,50,13,28,46.4,122,1,51,191,3.7,0,79,313,4,5,13,2,20,4,40,1,0,1,2015,Big 12,0,1
6,10/10/2015 0:00,Texas,N,Oklahoma,W (24-17),W,24,17,9,12,75,55,2,58,313,5.4,1,70,368,5.3,4,15,1,20,5,67,0,0,0,2015,Big 12,1,0
7,10/24/2015 0:00,Texas,Home,Kansas State,W (23-9),W,23,9,10,16,62.5,99,0,53,274,5.2,3,69,373,5.4,5,15,0,20,3,35,0,0,0,2015,Big 12,1,0
8,10/31/2015 0:00,Texas,Away,Iowa State,L (0-24),L,0,24,12,22,54.5,85,0,32,119,3.7,0,54,204,3.8,4,7,0,11,3,39,0,1,1,2015,Big 12,0,1
9,11/7/2015 0:00,Texas,Home,Kansas,W (59-20),W,59,20,19,30,63.3,299,2,40,299,7.5,6,70,598,8.5,11,9,0,20,6,36,1,0,1,2015,Big 12,1,0
10,11/14/2015 0:00,Texas,Away,West Virginia,L (20-38),L,20,38,11,19,57.9,162,1,54,277,5.1,1,73,439,6,7,12,0,19,7,55,3,2,5,2015,Big 12,0,1
11,11/26/2015 0:00,Texas,Home,Texas Tech,L (45-48),L,45,48,11,23,47.8,64,0,48,403,8.4,6,71,467,6.6,1,16,2,19,8,64,1,1,2,2015,Big 12,0,1
12,12/5/2015 0:00,Texas,Away,Baylor,W (23-17),W,23,17,12,21,57.1,151,1,42,156,3.7,1,63,307,4.9,7,7,1,15,7,60,0,0,0,2015,Big 12,1,0
1,9/4/2016 0:00,Texas,Home,Notre Dame,W (50-47),W,50,47,16,27,59.3,280,2,59,237,4,5,86,517,6,10,14,2,26,11,104,0,1,1,2016,,1,0
2,9/10/2016 0:00,Texas,Home,UTEP,W (41-7),W,41,7,23,28,82.1,245,4,47,171,3.6,1,75,416,5.5,10,11,2,23,10,115,1,0,1,2016,,1,0
3,9/17/2016 0:00,Texas,Away,California,L (43-50),L,43,50,23,39,59,261,1,51,307,6,4,90,568,6.3,11,19,4,34,7,50,0,2,2,2016,,0,1
4,10/1/2016 0:00,Texas,Away,Oklahoma State,L (31-49),L,31,49,21,33,63.6,239,1,49,329,6.7,4,82,568,6.9,8,16,2,26,5,39,0,1,1,2016,Big 12,0,1
5,10/8/2016 0:00,Texas,N,Oklahoma,L (40-45),L,40,45,19,36,52.8,245,3,46,180,3.9,2,82,425,5.2,10,10,3,23,2,10,1,1,2,2016,Big 12,0,1
6,10/15/2016 0:00,Texas,Home,Iowa State,W (27-6),W,27,6,26,38,68.4,296,2,47,209,4.4,1,85,505,5.9,12,14,2,28,9,100,1,1,2,2016,Big 12,1,0
7,10/22/2016 0:00,Texas,Away,Kansas State,L (21-24),L,21,24,17,24,70.8,222,2,36,133,3.7,1,60,355,5.9,9,8,3,20,10,72,0,0,0,2016,Big 12,0,1
8,10/29/2016 0:00,Texas,Home,Baylor,W (35-34),W,35,34,12,21,57.1,291,2,51,257,5,2,72,548,7.6,8,11,0,19,4,23,1,1,2,2016,Big 12,1,0
9,11/5/2016 0:00,Texas,Away,Texas Tech,W (45-37),W,45,37,20,40,50,244,2,50,414,8.3,4,90,658,7.3,13,16,0,29,9,99,2,0,2,2016,Big 12,1,0
10,11/12/2016 0:00,Texas,Home,West Virginia,L (20-24),L,20,24,31,50,62,318,1,50,218,4.4,1,100,536,5.4,15,16,1,33,5,50,2,1,3,2016,Big 12,0,1
11,11/19/2016 0:00,Texas,Away,Kansas,L (21-24),L,21,24,17,27,63,165,1,63,238,3.8,2,90,403,4.5,5,15,2,22,7,65,3,3,6,2016,Big 12,0,1
12,11/25/2016 0:00,Texas,Home,TCU,L (9-31),L,9,31,16,39,41,218,0,46,189,4.1,0,85,407,4.8,11,7,1,19,6,42,0,1,1,2016,Big 12,0,1
1,9/2/2017 0:00,Texas,Home,Maryland,L (41-51),L,41,51,34,53,64.2,375,2,31,98,3.2,1,84,473,5.6,19,8,2,26,11,117,1,1,2,2017,,0,1
2,9/9/2017 0:00,Texas,Home,San Jose State,W (56-0),W,56,0,16,29,55.2,217,1,59,406,6.9,6,88,623,7.1,10,21,1,32,6,68,0,0,0,2017,,1,0
3,9/16/2017 0:00,Texas,Away,Southern California,L (24-27),L,24,27,21,40,52.5,298,2,35,68,1.9,0,75,366,4.9,13,3,1,17,10,73,2,2,4,2017,,0,1
